GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project2,com.m3.util,HibernateUtil,3,17,0,2,1,6,1,3,1,2
Project2,com.m3.example,Driver,153,0,0,0,27,0,2,0,2,0
Project2,com.m3.dao,LikeDao,43,0,0,0,15,0,6,0,6,0
Project2,com.m3.dao,UserDao,20,46,0,0,8,10,3,4,3,4
Project2,com.m3.dao,PostDao,60,0,0,0,16,0,6,0,6,0
Project2,com.m3.dao,CommentDao,43,0,0,0,15,0,6,0,6,0
